Airline,Source,Destination,Total_Stops,Price,dept_day,dept_month,dept_hour,dept_minute,arrival_day,arrival_month,arrival_hour,arrival_minute,duration_hours,duration_minutes,Route1,Route2,Route3,Route4,Route5
IndiGo,S_Bangalore,D_Delhi,0,4423,24,4,13,0,24,4,15,50,2,50,BLR,DEL,Not Available,Not Available,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,14571,24,5,8,25,24,5,18,15,9,50,CCU,BOM,BLR,Not Available,Not Available
Multiple carriers,S_Delhi,D_Cochin,1,7038,3,6,14,55,3,6,22,30,7,35,DEL,HYD,COK,Not Available,Not Available
SpiceJet,S_Kolkata,D_Bangalore,1,7804,24,5,15,55,24,5,21,25,5,30,CCU,IXB,BLR,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,1,14714,27,6,11,30,27,6,19,0,7,30,DEL,BOM,COK,Not Available,Not Available
Jet Airways,S_Bangalore,D_New Delhi,1,27992,1,3,11,40,1,3,21,20,9,40,BLR,BOM,DEL,Not Available,Not Available
Air Asia,S_Delhi,D_Cochin,1,6152,12,6,20,45,13,6,7,10,10,25,DEL,BLR,COK,Not Available,Not Available
Jet Airways,S_Bangalore,D_Delhi,0,8016,1,6,6,0,1,6,8,45,2,45,BLR,DEL,Not Available,Not Available,Not Available
Air Asia,S_Delhi,D_Cochin,1,8759,1,6,7,55,1,6,22,25,14,30,DEL,BLR,COK,Not Available,Not Available
IndiGo,S_Kolkata,D_Bangalore,1,11465,9,6,9,20,9,6,14,15,4,55,CCU,PAT,BLR,Not Available,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,14781,15,5,18,55,16,5,16,20,21,25,CCU,BOM,BLR,Not Available,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,10844,24,5,14,5,25,5,18,15,4,10,CCU,BOM,BLR,Not Available,Not Available
Air India,S_Bangalore,D_New Delhi,2,12725,12,3,8,50,13,3,9,25,0,35,BLR,BOM,BHO,DEL,Not Available
Multiple carriers,S_Delhi,D_Cochin,3,16294,15,5,11,35,15,5,21,0,9,25,DEL,GWL,IDR,BOM,COK
Jet Airways,S_Delhi,D_Cochin,1,12373,18,5,7,5,18,5,12,35,5,30,DEL,BOM,COK,Not Available,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,13584,6,5,21,10,7,5,8,15,11,5,CCU,BOM,BLR,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,1,15554,9,3,19,45,10,3,4,25,8,40,DEL,BOM,COK,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,2,14441,9,6,5,30,9,6,12,35,7,5,DEL,BHO,BOM,COK,Not Available
Jet Airways,S_Mumbai,D_Hyderabad,0,5678,3,3,2,55,3,3,4,25,1,30,BOM,HYD,Not Available,Not Available,Not Available
IndiGo,S_Kolkata,D_Bangalore,0,6565,3,3,10,10,3,3,12,55,2,45,CCU,BLR,Not Available,Not Available,Not Available
Jet Airways,S_Bangalore,D_New Delhi,1,8147,24,3,5,45,24,3,10,45,5,0,BLR,BOM,DEL,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,1,13843,6,3,21,50,7,3,4,25,6,35,DEL,BOM,COK,Not Available,Not Available
SpiceJet,S_Mumbai,D_Hyderabad,0,2753,15,6,5,45,15,6,7,15,1,30,BOM,HYD,Not Available,Not Available,Not Available
IndiGo,S_Delhi,D_Cochin,2,6494,21,3,7,35,21,3,21,20,13,45,DEL,HYD,MAA,COK,Not Available
Air India,S_Bangalore,D_New Delhi,0,25913,1,3,17,0,1,3,19,45,2,45,BLR,DEL,Not Available,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,1,12898,27,5,15,0,28,5,19,0,4,0,DEL,BOM,COK,Not Available,Not Available
IndiGo,S_Chennai,D_Kolkata,0,8580,1,3,7,55,1,3,10,15,2,20,MAA,CCU,Not Available,Not Available,Not Available
Vistara,S_Delhi,D_Cochin,0,6216,24,6,14,40,24,6,17,50,3,10,DEL,COK,Not Available,Not Available,Not Available
SpiceJet,S_Bangalore,D_Delhi,0,4991,9,5,9,30,9,5,12,20,2,50,BLR,DEL,Not Available,Not Available,Not Available
Air India,S_Delhi,D_Cochin,2,12383,9,6,10,55,9,6,19,15,8,20,DEL,GOI,BOM,COK,Not Available
GoAir,S_Delhi,D_Cochin,1,5281,15,6,7,0,15,6,12,55,5,55,DEL,BOM,COK,Not Available,Not Available
Air India,S_Kolkata,D_Bangalore,2,11201,9,6,5,50,9,6,20,25,14,35,CCU,IXR,DEL,BLR,Not Available
IndiGo,S_Chennai,D_Kolkata,0,7295,24,3,19,35,24,3,21,55,2,20,MAA,CCU,Not Available,Not Available,Not Available
IndiGo,S_Chennai,D_Kolkata,0,6297,9,3,22,5,10,3,0,25,2,20,MAA,CCU,Not Available,Not Available,Not Available
Multiple carriers,S_Delhi,D_Cochin,1,16287,9,3,8,0,9,3,19,45,11,45,DEL,BOM,COK,Not Available,Not Available
SpiceJet,S_Chennai,D_Kolkata,0,3543,27,5,8,20,27,5,10,35,2,15,MAA,CCU,Not Available,Not Available,Not Available
IndiGo,S_Delhi,D_Cochin,1,8330,9,5,17,30,10,5,1,30,8,0,DEL,BOM,COK,Not Available,Not Available
Air India,S_Mumbai,D_Hyderabad,0,3625,27,5,13,55,27,5,15,25,1,30,BOM,HYD,Not Available,Not Available,Not Available
Air India,S_Kolkata,D_Bangalore,0,5510,21,5,14,15,21,5,16,45,2,30,CCU,BLR,Not Available,Not Available,Not Available
Air India,S_Mumbai,D_Hyderabad,0,4937,3,3,6,20,3,3,7,40,1,20,BOM,HYD,Not Available,Not Available,Not Available
Air India,S_Delhi,D_Cochin,0,7931,3,3,5,10,3,3,8,0,2,50,DEL,COK,Not Available,Not Available,Not Available
Air India,S_Delhi,D_Cochin,1,7480,9,5,6,5,10,5,9,25,3,20,DEL,MAA,COK,Not Available,Not Available
IndiGo,S_Delhi,D_Cochin,1,6270,9,4,11,25,10,4,1,30,14,5,DEL,BOM,COK,Not Available,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,8529,12,6,14,5,13,6,18,15,4,10,CCU,BOM,BLR,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,2,13014,12,6,19,30,13,6,4,25,8,55,DEL,JAI,BOM,COK,Not Available
Jet Airways,S_Delhi,D_Cochin,2,13376,24,6,14,35,25,6,4,25,13,50,DEL,NAG,BOM,COK,Not Available
Air India,S_Kolkata,D_Bangalore,1,7452,6,6,9,50,6,6,21,5,11,15,CCU,GAU,BLR,Not Available,Not Available
IndiGo,S_Delhi,D_Cochin,1,6442,15,5,11,55,15,5,22,30,10,35,DEL,HYD,COK,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,1,6017,27,3,15,5,28,3,4,25,13,20,DEL,BOM,COK,Not Available,Not Available
IndiGo,S_Delhi,D_Cochin,1,7640,18,5,16,10,18,5,22,30,6,20,DEL,HYD,COK,Not Available,Not Available
Jet Airways,S_Bangalore,D_Delhi,0,7229,12,5,6,0,12,5,8,45,2,45,BLR,DEL,Not Available,Not Available,Not Available
Air India,S_Delhi,D_Cochin,2,13381,24,6,20,15,25,6,19,15,23,0,DEL,CCU,BOM,COK,Not Available
Jet Airways,S_Delhi,D_Cochin,2,13292,24,6,5,30,24,6,19,0,13,30,DEL,IDR,BOM,COK,Not Available
Jet Airways,S_Delhi,D_Cochin,1,10262,3,6,22,50,4,6,19,0,20,10,DEL,BOM,COK,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,2,13029,27,5,9,40,28,5,12,35,2,55,DEL,JAI,BOM,COK,Not Available
Multiple carriers,S_Delhi,D_Cochin,1,13587,9,6,14,0,9,6,21,0,7,0,DEL,BOM,COK,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,1,14714,9,6,14,0,9,6,19,0,5,0,DEL,BOM,COK,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,1,10262,9,6,11,30,9,6,19,0,7,30,DEL,BOM,COK,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,1,10262,3,6,16,0,4,6,12,35,20,35,DEL,BOM,COK,Not Available,Not Available
IndiGo,S_Kolkata,D_Bangalore,0,4804,6,5,15,30,6,5,18,5,2,35,CCU,BLR,Not Available,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,1,15029,9,3,0,20,10,3,4,25,4,5,DEL,BOM,COK,Not Available,Not Available
Multiple carriers,S_Delhi,D_Cochin,1,14533,18,5,11,30,18,5,19,15,7,45,DEL,BOM,COK,Not Available,Not Available
Jet Airways,S_Bangalore,D_Delhi,0,8016,1,6,7,10,1,6,10,10,3,0,BLR,DEL,Not Available,Not Available,Not Available
Air India,S_Delhi,D_Cochin,2,12409,18,5,17,15,19,5,19,15,2,0,DEL,HYD,BOM,COK,Not Available
SpiceJet,S_Bangalore,D_Delhi,0,4423,27,4,5,55,27,4,8,35,2,40,BLR,DEL,Not Available,Not Available,Not Available
SpiceJet,S_Bangalore,D_Delhi,0,3573,24,4,21,10,25,4,0,5,2,55,BLR,DEL,Not Available,Not Available,Not Available
SpiceJet,S_Bangalore,D_New Delhi,0,5126,9,3,20,30,9,3,23,20,2,50,BLR,DEL,Not Available,Not Available,Not Available
Multiple carriers,S_Delhi,D_Cochin,1,11200,1,6,6,40,1,6,19,0,12,20,DEL,BOM,COK,Not Available,Not Available
Air India,S_Delhi,D_Cochin,0,4939,15,3,18,5,15,3,21,10,3,5,DEL,COK,Not Available,Not Available,Not Available
IndiGo,S_Kolkata,D_Bangalore,0,4804,12,5,4,40,12,5,7,15,2,35,CCU,BLR,Not Available,Not Available,Not Available
IndiGo,S_Kolkata,D_Bangalore,0,6565,24,3,10,10,24,3,12,55,2,45,CCU,BLR,Not Available,Not Available,Not Available
IndiGo,S_Delhi,D_Cochin,1,14871,3,3,9,10,4,3,1,35,16,25,DEL,BOM,COK,Not Available,Not Available
Air India,S_Kolkata,D_Bangalore,1,6117,6,5,19,0,7,5,4,40,9,40,CCU,HYD,BLR,Not Available,Not Available
IndiGo,S_Delhi,D_Cochin,1,13611,6,3,4,45,6,3,13,20,8,35,DEL,BOM,COK,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,2,8728,27,3,5,10,27,3,18,50,13,40,DEL,MAA,BOM,COK,Not Available
Air India,S_Mumbai,D_Hyderabad,0,3625,12,5,19,30,12,5,20,45,1,15,BOM,HYD,Not Available,Not Available,Not Available
SpiceJet,S_Mumbai,D_Hyderabad,0,1965,21,5,5,45,21,5,7,15,1,30,BOM,HYD,Not Available,Not Available,Not Available
Air India,S_Bangalore,D_New Delhi,2,12599,3,3,8,50,4,3,11,10,2,20,BLR,BOM,IDR,DEL,Not Available
Air India,S_Bangalore,D_Delhi,0,6961,9,6,10,0,9,6,12,45,2,45,BLR,DEL,Not Available,Not Available,Not Available
Multiple carriers,S_Delhi,D_Cochin,1,11789,27,6,7,30,27,6,19,0,11,30,DEL,BOM,COK,Not Available,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,13044,12,6,18,55,13,6,18,15,23,20,CCU,BOM,BLR,Not Available,Not Available
Vistara,S_Delhi,D_Cochin,0,6216,24,6,6,0,24,6,9,10,3,10,DEL,COK,Not Available,Not Available,Not Available
Air India,S_Kolkata,D_Bangalore,2,10151,1,5,12,0,2,5,18,30,6,30,CCU,BBI,BOM,BLR,Not Available
Air India,S_Delhi,D_Cochin,1,8372,3,6,19,0,4,6,7,40,12,40,DEL,BOM,COK,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,1,14189,21,3,20,50,22,3,4,25,7,35,DEL,BOM,COK,Not Available,Not Available
SpiceJet,S_Mumbai,D_Hyderabad,0,2017,1,5,22,45,2,5,0,15,1,30,BOM,HYD,Not Available,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,1,15400,6,3,9,0,6,3,18,50,9,50,DEL,BOM,COK,Not Available,Not Available
Multiple carriers,S_Delhi,D_Cochin,1,18260,9,3,0,20,9,3,12,55,12,35,DEL,BOM,COK,Not Available,Not Available
Jet Airways,S_Bangalore,D_New Delhi,0,7229,21,3,19,55,21,3,22,35,2,40,BLR,DEL,Not Available,Not Available,Not Available
IndiGo,S_Kolkata,D_Bangalore,1,4205,12,5,19,20,12,5,23,45,4,25,CCU,HYD,BLR,Not Available,Not Available
SpiceJet,S_Kolkata,D_Bangalore,0,3873,6,6,17,10,6,6,19,40,2,30,CCU,BLR,Not Available,Not Available,Not Available
Jet Airways,S_Bangalore,D_New Delhi,1,14815,6,3,14,5,7,3,5,5,15,0,BLR,BOM,DEL,Not Available,Not Available
IndiGo,S_Kolkata,D_Bangalore,0,4804,3,5,15,30,3,5,18,5,2,35,CCU,BLR,Not Available,Not Available,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,11134,24,3,16,55,24,3,23,25,6,30,CCU,BOM,BLR,Not Available,Not Available
Air India,S_Delhi,D_Cochin,1,8372,27,6,9,0,27,6,19,15,10,15,DEL,BOM,COK,Not Available,Not Available
Multiple carriers,S_Delhi,D_Cochin,1,14848,24,6,11,30,24,6,19,15,7,45,DEL,BOM,COK,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,1,10262,15,6,11,30,16,6,4,25,16,55,DEL,BOM,COK,Not Available,Not Available
IndiGo,S_Delhi,D_Cochin,0,5601,3,6,5,35,3,6,8,50,3,15,DEL,COK,Not Available,Not Available,Not Available
SpiceJet,S_Delhi,D_Cochin,1,5111,27,3,15,55,27,3,21,55,6,0,DEL,MAA,COK,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,1,14714,6,6,11,30,6,6,19,0,7,30,DEL,BOM,COK,Not Available,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,11467,15,5,9,35,16,5,14,25,4,50,CCU,DEL,BLR,Not Available,Not Available
Jet Airways,S_Bangalore,D_New Delhi,1,13817,12,3,16,55,13,3,7,40,14,45,BLR,BOM,DEL,Not Available,Not Available
Air India,S_Bangalore,D_New Delhi,0,11423,3,3,10,0,3,3,12,45,2,45,BLR,DEL,Not Available,Not Available,Not Available
Air India,S_Delhi,D_Cochin,1,8372,9,5,10,0,9,5,19,15,9,15,DEL,BOM,COK,Not Available,Not Available
Multiple carriers,S_Delhi,D_Cochin,1,9856,24,6,7,5,24,6,16,10,9,5,DEL,HYD,COK,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,1,12373,18,5,18,15,19,5,4,25,10,10,DEL,BOM,COK,Not Available,Not Available
Air India,S_Kolkata,D_Bangalore,2,12352,24,3,9,25,25,3,5,35,20,10,CCU,BOM,GOI,BLR,Not Available
Jet Airways,S_Bangalore,D_Delhi,0,5769,3,6,15,15,3,6,18,10,2,55,BLR,DEL,Not Available,Not Available,Not Available
Air India,S_Delhi,D_Cochin,2,8971,27,3,5,55,28,3,7,40,1,45,DEL,NAG,BOM,COK,Not Available
Air Asia,S_Bangalore,D_Delhi,0,4282,1,4,4,55,1,4,7,45,2,50,BLR,DEL,Not Available,Not Available,Not Available
IndiGo,S_Mumbai,D_Hyderabad,0,4049,18,6,6,25,18,6,7,55,1,30,BOM,HYD,Not Available,Not Available,Not Available
Air India,S_Bangalore,D_Delhi,0,5176,6,4,10,0,6,4,12,45,2,45,BLR,DEL,Not Available,Not Available,Not Available
Vistara,S_Mumbai,D_Hyderabad,1,12080,12,3,8,45,12,3,16,45,8,0,BOM,DEL,HYD,Not Available,Not Available
Air India,S_Kolkata,D_Bangalore,2,10697,9,5,8,20,10,5,7,55,23,35,CCU,JAI,BOM,BLR,Not Available
Jet Airways,S_Delhi,D_Cochin,1,16289,9,3,18,15,10,3,18,50,0,35,DEL,BOM,COK,Not Available,Not Available
IndiGo,S_Delhi,D_Cochin,1,10518,9,3,4,45,9,3,21,0,16,15,DEL,BOM,COK,Not Available,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,10844,21,5,20,0,22,5,19,50,23,50,CCU,BOM,BLR,Not Available,Not Available
Air India,S_Delhi,D_Cochin,1,10315,9,3,4,0,10,3,7,40,3,40,DEL,BOM,COK,Not Available,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,12692,9,6,17,0,10,6,19,10,2,10,CCU,DEL,BLR,Not Available,Not Available
IndiGo,S_Delhi,D_Cochin,1,6206,1,6,11,25,2,6,1,30,14,5,DEL,BOM,COK,Not Available,Not Available
SpiceJet,S_Mumbai,D_Hyderabad,0,2017,6,5,13,15,6,5,14,45,1,30,BOM,HYD,Not Available,Not Available,Not Available
Jet Airways,S_Bangalore,D_New Delhi,1,25735,1,3,22,50,2,3,19,10,20,20,BLR,BOM,DEL,Not Available,Not Available
Air India,S_Delhi,D_Cochin,2,10975,12,6,13,5,13,6,9,25,20,20,DEL,HYD,MAA,COK,Not Available
Air India,S_Kolkata,D_Bangalore,1,10493,24,3,9,25,24,3,18,30,9,5,CCU,BOM,BLR,Not Available,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,10844,9,6,21,10,10,6,18,15,21,5,CCU,BOM,BLR,Not Available,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,10031,24,3,19,45,25,3,18,10,22,25,CCU,BOM,BLR,Not Available,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,14151,18,5,20,25,19,5,19,10,22,45,CCU,DEL,BLR,Not Available,Not Available
Jet Airways,S_Bangalore,D_Delhi,0,6478,18,6,6,0,18,6,8,45,2,45,BLR,DEL,Not Available,Not Available,Not Available
Air India,S_Mumbai,D_Hyderabad,0,3100,9,5,13,55,9,5,15,25,1,30,BOM,HYD,Not Available,Not Available,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,8849,1,4,21,10,2,4,8,15,11,5,CCU,BOM,BLR,Not Available,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,10844,1,5,8,25,1,5,16,20,7,55,CCU,BOM,BLR,Not Available,Not Available
Jet Airways,S_Bangalore,D_New Delhi,1,13817,12,3,22,55,13,3,9,30,10,35,BLR,BOM,DEL,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,1,14714,1,6,17,30,2,6,19,0,1,30,DEL,BOM,COK,Not Available,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,13731,6,6,8,25,7,6,4,40,20,15,CCU,BOM,BLR,Not Available,Not Available
SpiceJet,S_Kolkata,D_Bangalore,0,3841,27,6,17,10,27,6,19,40,2,30,CCU,BLR,Not Available,Not Available,Not Available
IndiGo,S_Bangalore,D_Delhi,0,6906,12,4,23,30,13,4,2,20,2,50,BLR,DEL,Not Available,Not Available,Not Available
Multiple carriers,S_Delhi,D_Cochin,1,15147,3,3,8,55,3,3,21,0,12,5,DEL,BOM,COK,Not Available,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,14781,6,5,6,30,6,5,19,50,13,20,CCU,BOM,BLR,Not Available,Not Available
Jet Airways,S_Bangalore,D_Delhi,0,4030,21,5,7,10,21,5,10,10,3,0,BLR,DEL,Not Available,Not Available,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,8066,6,5,20,25,7,5,9,45,13,20,CCU,DEL,BLR,Not Available,Not Available
IndiGo,S_Bangalore,D_Delhi,0,4823,21,5,20,0,21,5,22,50,2,50,BLR,DEL,Not Available,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,1,15554,18,5,19,15,19,5,19,0,23,45,DEL,BOM,COK,Not Available,Not Available
Air Asia,S_Bangalore,D_New Delhi,0,3383,24,3,5,50,24,3,8,40,2,50,BLR,DEL,Not Available,Not Available,Not Available
IndiGo,S_Bangalore,D_Delhi,0,4823,18,6,8,30,18,6,11,20,2,50,BLR,DEL,Not Available,Not Available,Not Available
SpiceJet,S_Kolkata,D_Bangalore,0,3873,3,4,22,20,4,4,0,40,2,20,CCU,BLR,Not Available,Not Available,Not Available
IndiGo,S_Delhi,D_Cochin,1,6593,1,6,20,25,2,6,1,30,5,5,DEL,BOM,COK,Not Available,Not Available
Multiple carriers,S_Delhi,D_Cochin,1,18286,3,3,13,0,3,3,21,0,8,0,DEL,BOM,COK,Not Available,Not Available
SpiceJet,S_Chennai,D_Kolkata,0,3543,3,5,17,45,3,5,20,5,2,20,MAA,CCU,Not Available,Not Available,Not Available
IndiGo,S_Kolkata,D_Bangalore,0,4804,21,4,15,30,21,4,18,5,2,35,CCU,BLR,Not Available,Not Available,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,9899,12,6,8,25,12,6,20,45,12,20,CCU,BOM,BLR,Not Available,Not Available
Air India,S_Delhi,D_Cochin,1,7468,9,6,17,40,10,6,8,15,14,35,DEL,BLR,COK,Not Available,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,13941,21,5,6,30,22,5,10,5,3,35,CCU,BOM,BLR,Not Available,Not Available
Jet Airways,S_Bangalore,D_Delhi,0,8541,21,6,17,45,21,6,20,45,3,0,BLR,DEL,Not Available,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,2,15129,9,5,9,40,10,5,4,25,18,45,DEL,JAI,BOM,COK,Not Available
GoAir,S_Delhi,D_Cochin,1,5135,6,4,10,35,6,4,19,35,9,0,DEL,BOM,COK,Not Available,Not Available
IndiGo,S_Delhi,D_Cochin,1,7503,18,5,18,35,19,5,1,30,6,55,DEL,BOM,COK,Not Available,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,14151,12,5,9,35,12,5,22,5,12,30,CCU,DEL,BLR,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,1,10262,1,6,8,0,2,6,4,25,20,25,DEL,BOM,COK,Not Available,Not Available
Jet Airways,S_Bangalore,D_New Delhi,1,11087,12,3,22,55,13,3,13,15,14,20,BLR,BOM,DEL,Not Available,Not Available
Jet Airways,S_Bangalore,D_New Delhi,1,31825,1,3,22,50,2,3,11,25,12,35,BLR,BOM,DEL,Not Available,Not Available
Air India,S_Delhi,D_Cochin,2,12488,3,6,12,20,4,6,19,15,6,55,DEL,LKO,BOM,COK,Not Available
Air Asia,S_Delhi,D_Cochin,1,6151,27,3,16,45,28,3,7,10,14,25,DEL,BLR,COK,Not Available,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,14151,18,5,17,0,19,5,21,5,4,5,CCU,DEL,BLR,Not Available,Not Available
IndiGo,S_Kolkata,D_Bangalore,1,4226,1,5,6,20,1,5,10,20,4,0,CCU,MAA,BLR,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,1,16079,27,5,21,50,28,5,4,25,6,35,DEL,BOM,COK,Not Available,Not Available
IndiGo,S_Bangalore,D_New Delhi,1,7774,3,3,5,25,3,3,10,10,4,45,BLR,LKO,DEL,Not Available,Not Available
Air India,S_Mumbai,D_Hyderabad,0,3100,24,6,21,5,24,6,22,25,1,20,BOM,HYD,Not Available,Not Available,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,12384,1,5,9,35,1,5,21,5,11,30,CCU,DEL,BLR,Not Available,Not Available
Jet Airways,S_Mumbai,D_Hyderabad,0,4160,3,4,7,5,3,4,8,30,1,25,BOM,HYD,Not Available,Not Available,Not Available
Jet Airways,S_Mumbai,D_Hyderabad,0,5678,1,4,19,35,1,4,21,5,1,30,BOM,HYD,Not Available,Not Available,Not Available
Jet Airways,S_Bangalore,D_New Delhi,1,26890,1,3,11,40,1,3,18,25,6,45,BLR,BOM,DEL,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,1,14714,3,6,14,0,4,6,4,25,14,25,DEL,BOM,COK,Not Available,Not Available
IndiGo,S_Delhi,D_Cochin,1,5073,27,3,7,35,27,3,12,0,4,25,DEL,HYD,COK,Not Available,Not Available
Jet Airways,S_Kolkata,D_Bangalore,1,14781,1,5,16,30,1,5,23,35,7,5,CCU,BOM,BLR,Not Available,Not Available
IndiGo,S_Delhi,D_Cochin,1,6104,3,6,17,10,4,6,1,30,8,20,DEL,BOM,COK,Not Available,Not Available
Air India,S_Bangalore,D_New Delhi,2,12358,3,3,6,45,4,3,10,35,3,50,BLR,BOM,NAG,DEL,Not Available
Jet Airways,S_Bangalore,D_Delhi,0,7229,3,5,17,45,3,5,20,45,3,0,BLR,DEL,Not Available,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,1,15554,18,5,22,50,19,5,19,0,20,10,DEL,BOM,COK,Not Available,Not Available
Jet Airways,S_Delhi,D_Cochin,1,10262,12,6,21,50,13,6,12,35,14,45,DEL,BOM,COK,Not Available,Not Available
SpiceJet,S_Kolkata,D_Bangalore,0,3873,15,6,17,10,15,6,19,40,2,30,CCU,BLR,Not Available,Not Available,Not Available
Multiple carriers,S_Delhi,D_Cochin,1,14067,21,5,18,15,22,5,1,30,7,15,DEL,BOM,COK,Not Available,Not Available
Vistara,S_Kolkata,D_Bangalore,1,8452,1,4,20,20,2,4,20,20,0,0,CCU,DEL,BLR,Not Available,Not Available
Air Asia,S_Delhi,D_Cochin,1,11410,6,6,20,45,7,6,7,10,10,25,DEL,BLR,COK,Not Available,Not Available
IndiGo,S_Delhi,D_Cochin,1,5073,6,4,7,35,6,4,12,10,4,35,DEL,HYD,COK,Not Available,Not Available
IndiGo,S_Kolkata,D_Bangalore,0,4174,18,4,20,20,18,4,22,55,2,35,CCU,BLR,Not Available,Not Available,Not Available
